The maximum sample data size is 20000
         n	 repetitions	   sort(sec)
       100	          46	    0.000022
       200	          13	    0.000080
       300	           6	    0.000190
       400	           4	    0.000271
       500	           3	    0.000382
       600	           2	    0.000613
       700	           1	    0.001005
       800	           1	    0.001028
       900	           1	    0.001158
      1000	           1	    0.001650
      2000	           1	    0.006471
      3000	           1	    0.014496
      4000	           1	    0.025871
      5000	           1	    0.036555
      6000	           1	    0.055262
      7000	           1	    0.069696
      8000	           1	    0.102183
      9000	           1	    0.126368
     10000	           1	    0.116162
     20000	           1	    0.482545
