The maximum sample data size is 20000
         n	 repetitions	   sort(sec)
       100	         119	    0.000008
       200	          50	    0.000020
       300	          30	    0.000034
       400	          21	    0.000050
       500	          18	    0.000059
       600	          13	    0.000079
       700	          11	    0.000092
       800	          10	    0.000103
       900	           8	    0.000133
      1000	           7	    0.000156
      2000	           4	    0.000275
      3000	           3	    0.000507
      4000	           2	    0.000699
      5000	           2	    0.000856
      6000	           1	    0.001041
      7000	           1	    0.001436
      8000	           1	    0.001586
      9000	           1	    0.002027
     10000	           1	    0.003230
     20000	           1	    0.005133
