The maximum sample data size is 2000000000
         n	 repetitions	   sort(sec)
       100	         117	    0.000009
       200	          59	    0.000017
       300	          28	    0.000036
       400	          22	    0.000047
       500	          17	    0.000059
       600	          13	    0.000077
       700	          13	    0.000083
       800	           9	    0.000112
       900	           8	    0.000134
      1000	           7	    0.000154
      2000	           3	    0.000357
      3000	           3	    0.000478
      4000	           2	    0.000642
      5000	           2	    0.000861
      6000	           1	    0.001069
      7000	           1	    0.001288
      8000	           1	    0.001516
      9000	           1	    0.001957
     10000	           1	    0.002032
     20000	           1	    0.005913
     30000	           1	    0.006138
     40000	           1	    0.009538
     50000	           1	    0.009090
     60000	           1	    0.012127
     70000	           1	    0.017996
     80000	           1	    0.014545
     90000	           1	    0.015223
    100000	           1	    0.018110
    200000	           1	    0.040460
    300000	           1	    0.072327
    400000	           1	    0.110380
    500000	           1	    0.107017
    600000	           1	    0.137326
    700000	           1	    0.158887
    800000	           1	    0.200766
    900000	           1	    0.201625
   1000000	           1	    0.230931
   2000000	           1	    0.521219
   3000000	           1	    0.800670
   4000000	           1	    1.157550
   5000000	           1	    1.438602
   6000000	           1	    1.837796
   7000000	           1	    2.292166
   8000000	           1	    2.542898
   9000000	           1	    2.601151
  10000000	           1	    3.133024
  20000000	           1	    6.544338
  30000000	           1	    9.355891
  40000000	           1	   12.475976
  50000000	           1	   16.496213
  60000000	           1	   19.288136
  70000000	           1	   23.572225
  80000000	           1	   25.192307
  90000000	           1	   28.978694
 100000000	           1	   31.840839
 200000000	           1	   69.676803
 300000000	           1	  104.186245
