The maximum sample data size is 1000000000
         n	 repetitions	   sort(sec)
       100	         104	    0.000010
       200	          53	    0.000019
       300	          30	    0.000034
       400	          24	    0.000042
       500	          16	    0.000064
       600	          15	    0.000068
       700	          11	    0.000093
       800	          10	    0.000109
       900	          11	    0.000096
      1000	          10	    0.000108
      2000	           5	    0.000242
      3000	           2	    0.000559
      4000	           2	    0.000738
      5000	           2	    0.000978
      6000	           1	    0.001031
      7000	           1	    0.001031
      8000	           1	    0.001201
      9000	           1	    0.001417
     10000	           1	    0.001763
     20000	           1	    0.003087
     30000	           1	    0.004746
     40000	           1	    0.006624
     50000	           1	    0.008265
     60000	           1	    0.010353
     70000	           1	    0.011726
     80000	           1	    0.014341
     90000	           1	    0.015358
    100000	           1	    0.017292
    200000	           1	    0.041618
    300000	           1	    0.057934
    400000	           1	    0.080583
    500000	           1	    0.099967
    600000	           1	    0.127471
    700000	           1	    0.150629
    800000	           1	    0.170857
    900000	           1	    0.199799
   1000000	           1	    0.269452
   2000000	           1	    0.489875
   3000000	           1	    0.786452
   4000000	           1	    1.096740
   5000000	           1	    1.345406
   6000000	           1	    1.557808
   7000000	           1	    1.819717
   8000000	           1	    2.249627
   9000000	           1	    2.702150
  10000000	           1	    2.744113
  20000000	           1	    5.976040
  30000000	           1	    9.391429
  40000000	           1	   12.637363
  50000000	           1	   17.074263
  60000000	           1	   19.640650
  70000000	           1	   23.946527
  80000000	           1	   27.202590
  90000000	           1	   29.858773
 100000000	           1	   33.781973
 200000000	           1	   69.981013
 300000000	           1	  108.045939
 400000000	           1	  142.369227
 500000000	           1	  185.978312
 600000000	           1	  228.479552
 700000000	           1	  260.229417
 800000000	           1	  299.191981
 900000000	           1	  376.590921
1000000000	           1	  391.823521
