The maximum sample data size is 1000000
         n	 repetitions	   sort(sec)
       100	         160	    0.000006
       200	          75	    0.000013
       300	          38	    0.000026
       400	          27	    0.000038
       500	          20	    0.000051
       600	          18	    0.000058
       700	          14	    0.000076
       800	          10	    0.000103
       900	           9	    0.000113
      1000	           8	    0.000128
      2000	           4	    0.000275
      3000	           3	    0.000467
      4000	           2	    0.000874
      5000	           1	    0.001098
      6000	           1	    0.001024
      7000	           1	    0.001156
      8000	           1	    0.001413
      9000	           1	    0.001602
     10000	           1	    0.001622
     20000	           1	    0.003288
     30000	           1	    0.004951
     40000	           1	    0.007600
     50000	           1	    0.010900
     60000	           1	    0.010770
     70000	           1	    0.012257
     80000	           1	    0.014557
     90000	           1	    0.016027
    100000	           1	    0.017894
    200000	           1	    0.049711
    300000	           1	    0.067535
    400000	           1	    0.080826
    500000	           1	    0.105811
    600000	           1	    0.127374
    700000	           1	    0.145693
    800000	           1	    0.171689
    900000	           1	    0.196489
   1000000	           1	    0.226206
