The maximum sample data size is 1000000
         n	 repetitions	   sort(sec)
       100	          50	    0.000020
       200	          14	    0.000072
       300	           7	    0.000154
       400	           4	    0.000273
       500	           3	    0.000415
       600	           2	    0.000568
       700	           2	    0.000726
       800	           2	    0.000947
       900	           1	    0.001160
      1000	           1	    0.001222
      2000	           1	    0.005130
      3000	           1	    0.013289
      4000	           1	    0.020822
      5000	           1	    0.029441
      6000	           1	    0.044594
      7000	           1	    0.065478
      8000	           1	    0.075081
      9000	           1	    0.093005
     10000	           1	    0.114882
     20000	           1	    0.464756
     30000	           1	    1.043704
     40000	           1	    1.889104
     50000	           1	    2.928265
     60000	           1	    4.298893
     70000	           1	    5.862452
     80000	           1	    7.724634
     90000	           1	    9.554145
    100000	           1	   12.034450
    200000	           1	   47.100137
    300000	           1	  107.310676
    400000	           1	  186.181943
    500000	           1	  294.526335
    600000	           1	  429.477344
    700000	           1	  579.543960
    800000	           1	  760.538855
    900000	           1	  962.346049
   1000000	           1	 1191.182653
