The maximum sample data size is 10000
         n	 repetitions	   sort(sec)
       100	         127	    0.000008
       200	          71	    0.000014
       300	          34	    0.000029
       400	          22	    0.000046
       500	          20	    0.000050
       600	          17	    0.000061
       700	          15	    0.000070
       800	          13	    0.000081
       900	          12	    0.000091
      1000	          10	    0.000105
      2000	           5	    0.000235
      3000	           3	    0.000364
      4000	           2	    0.000500
      5000	           2	    0.000658
      6000	           2	    0.000792
      7000	           2	    0.000968
      8000	           1	    0.001212
      9000	           1	    0.001563
     10000	           1	    0.001677
