The maximum sample data size is 30000
         n	 repetitions	   sort(sec)
       100	          50	    0.000020
       200	          15	    0.000068
       300	           8	    0.000138
       400	           5	    0.000259
       500	           3	    0.000373
       600	           2	    0.000519
       700	           2	    0.000731
       800	           2	    0.000911
       900	           1	    0.001273
      1000	           1	    0.001449
      2000	           1	    0.005299
      3000	           1	    0.012407
      4000	           1	    0.022465
      5000	           1	    0.034117
      6000	           1	    0.051925
      7000	           1	    0.059473
      8000	           1	    0.074516
      9000	           1	    0.094711
     10000	           1	    0.116467
     20000	           1	    0.456701
     30000	           1	    1.059227
